step,time_s,min_eta,max_eta,min_sum_eta2,max_sum_eta2,mean_sum_eta2,grains_with_metal_cells,unassigned_metal_cells,integrated_active_GB_m2,max_GB_mask,grain_energy_per_depth
0,0,0,0.99993708881609589,0,0.99987418554782592,0.87355132280203317,2,0,4.9832379052607229e-14,0.99999964351764903,2.1321057226653269e-10
500,5.0000000000000003e-10,1.873644920682983e-35,0.99993708853926178,6.1267460565852862e-69,0.99987418499422742,0.87355122740647402,2,0,4.9832348275281815e-14,0.99999964349758386,2.1320761446558289e-10
