step,time_s,grain_id,dominant_metal_cells,weighted_metal_area_cells,weighted_metal_area_m2
0,0,1,1799,1796.7803556844722,1.7967803556844723e-13
0,0,2,1825,1827.2196443155278,1.8272196443155279e-13
500,5.0000000000000003e-10,1,1799,1796.7803442204856,1.7967803442204856e-13
500,5.0000000000000003e-10,2,1825,1827.2196557795144,1.8272196557795145e-13
